time,u,v,w,viento_total
0        2012-01-04 01:29:59.85
1         2012-01-04 01:29:59.9
2        2012-01-04 01:29:59.95
3           2012-01-04 01:30:00
4        2012-01-04 01:30:00.05
5         2012-01-04 01:30:00.1
6        2012-01-04 01:30:00.15
7         2012-01-04 01:30:00.2
8        2012-01-04 01:30:00.25
9         2012-01-04 01:30:00.3
10       2012-01-04 01:30:00.35
11        2012-01-04 01:30:00.4
12       2012-01-04 01:30:00.45
13        2012-01-04 01:30:00.5
14       2012-01-04 01:30:00.55
15        2012-01-04 01:30:00.6
16       2012-01-04 01:30:00.65
17        2012-01-04 01:30:00.7
18       2012-01-04 01:30:00.75
19        2012-01-04 01:30:00.8
20       2012-01-04 01:30:00.85
21        2012-01-04 01:30:00.9
22       2012-01-04 01:30:00.95
23          2012-01-04 01:30:01
24       2012-01-04 01:30:01.05
25        2012-01-04 01:30:01.1
26       2012-01-04 01:30:01.15
27        2012-01-04 01:30:01.2
28       2012-01-04 01:30:01.25
29        2012-01-04 01:30:01.3
                  ...          
35836    2012-01-04 01:59:58.35
35837     2012-01-04 01:59:58.4
35838    2012-01-04 01:59:58.45
35839     2012-01-04 01:59:58.5
35840    2012-01-04 01:59:58.55
35841     2012-01-04 01:59:58.6
35842    2012-01-04 01:59:58.65
35843     2012-01-04 01:59:58.7
35844    2012-01-04 01:59:58.75
35845     2012-01-04 01:59:58.8
35846    2012-01-04 01:59:58.85
35847     2012-01-04 01:59:58.9
35848    2012-01-04 01:59:58.95
35849       2012-01-04 01:59:59
35850    2012-01-04 01:59:59.05
35851     2012-01-04 01:59:59.1
35852    2012-01-04 01:59:59.15
35853     2012-01-04 01:59:59.2
35854    2012-01-04 01:59:59.25
35855     2012-01-04 01:59:59.3
35856    2012-01-04 01:59:59.35
35857     2012-01-04 01:59:59.4
35858    2012-01-04 01:59:59.45
35859     2012-01-04 01:59:59.5
35860    2012-01-04 01:59:59.55
35861     2012-01-04 01:59:59.6
35862    2012-01-04 01:59:59.65
35863     2012-01-04 01:59:59.7
35864    2012-01-04 01:59:59.75
35865     2012-01-04 01:59:59.8
Name: time, dtype: object, 0       -0.18
1       -0.13
2       -0.18
3       -0.20
4       -0.14
5       -0.17
6       -0.18
7       -0.07
8       -0.13
9       -0.35
10      -0.28
11      -0.46
12      -0.55
13      -0.59
14      -0.57
15      -0.58
16      -0.55
17      -0.59
18      -0.65
19      -0.74
20      -0.63
21      -0.61
22      -0.60
23      -0.55
24      -0.56
25      -0.69
26      -0.53
27      -0.63
28      -0.61
29      -0.60
         ... 
35836   -1.93
35837   -1.74
35838   -1.65
35839   -1.39
35840   -1.53
35841   -1.50
35842   -1.66
35843   -1.70
35844   -1.62
35845   -1.39
35846   -1.51
35847   -1.43
35848   -1.32
35849   -1.46
35850   -1.47
35851   -1.53
35852   -1.48
35853   -1.47
35854   -1.49
35855   -1.47
35856   -1.47
35857   -1.32
35858   -1.42
35859   -1.67
35860   -1.73
35861   -1.70
35862   -1.78
35863   -1.69
35864   -1.71
35865   -1.69
Name: u, dtype: float64, 0       -0.98
1       -1.09
2       -0.99
3       -0.94
4       -1.04
5       -1.01
6       -0.97
7       -1.00
8       -0.98
9       -1.06
10      -1.05
11      -0.98
12      -1.02
13      -1.04
14      -1.00
15      -1.10
16      -1.04
17      -1.04
18      -0.90
19      -0.90
20      -0.87
21      -0.93
22      -1.02
23      -0.97
24      -1.03
25      -1.25
26      -1.07
27      -1.00
28      -0.98
29      -1.02
         ... 
35836   -0.78
35837   -0.99
35838   -1.19
35839   -1.32
35840   -1.44
35841   -1.50
35842   -1.37
35843   -1.15
35844   -1.18
35845   -1.32
35846   -1.26
35847   -1.23
35848   -1.27
35849   -1.37
35850   -1.44
35851   -1.44
35852   -1.38
35853   -1.21
35854   -1.24
35855   -1.22
35856   -1.29
35857   -1.40
35858   -1.37
35859   -1.14
35860   -1.10
35861   -0.95
35862   -0.82
35863   -0.86
35864   -0.81
35865   -0.78
Name: v, dtype: float64, 0        0.37
1        0.25
2        0.16
3        0.11
4        0.05
5        0.05
6        0.00
7       -0.03
8       -0.03
9       -0.26
10      -0.39
11      -0.37
12      -0.31
13      -0.25
14      -0.35
15      -0.44
16      -0.37
17      -0.25
18      -0.27
19      -0.19
20      -0.22
21      -0.31
22      -0.21
23      -0.30
24      -0.23
25      -0.13
26      -0.27
27      -0.23
28      -0.19
29      -0.21
         ... 
35836   -0.28
35837   -0.31
35838   -0.29
35839   -0.25
35840   -0.23
35841   -0.16
35842   -0.29
35843   -0.26
35844   -0.25
35845   -0.25
35846   -0.37
35847   -0.37
35848   -0.24
35849   -0.25
35850   -0.26
35851   -0.28
35852   -0.40
35853   -0.53
35854   -0.53
35855   -0.47
35856   -0.54
35857   -0.49
35858   -0.51
35859   -0.34
35860   -0.34
35861   -0.32
35862   -0.25
35863   -0.31
35864   -0.28
35865   -0.32
Name: w, dtype: float64, 0        0.996393
1        1.097725
2        1.006231
3        0.961041
